,Mobile cellular subscriptions,,,,,,,,,,,,Mobile cellular subscriptions per 100 inhabitants,,,,,,,,,,,,Metadata for mobile cellular subscriptions,,,,,,,,,,,,,,,,,,,,,
Pakistan,306493,742606,1698536,2404400,5022908,12771203,34506557,62856712,88019742,94342030,102777387,,0.21,0.50,1.13,1.57,3.22,8.05,21.36,38.22,52.57,55.33,59.21,,,Pakistan Telecommunication Company Limited (PTCL).,,Pakistan Telecommunication Company Limited (PTCL).,,Pakistan Telecommunication Authority (PTA).,,Pakistan Telecommunication Authority (PTA).,,Pakistan Telecommunication Authority (PTA).,,Pakistan Telecommunication Authority (PTA).,,Pakistan Telecommunication Authority (PTA).,December.,Pakistan Telecommunication Authority (PTA).,,Pakistan Telecommunication Authority (PTA).,,Pakistan Telecommunication Authority (PTA).,,Pakistan Telecommunication Authority (PTA).
Palau,,,2458,3924,3924,6051,8346,10691,12208,13156,14512,,,,12.56,19.92,19.82,30.40,41.71,53.14,60.35,64.66,70.89,,,,,,,,,,,,,,,,,Palau National Communications Corporation,,Palau National Communications Corporation,,Palau National Communications Corporation,,Palau National Communications Corporation (PNCC)
Palestinian Authority,7076,175941,251602,264091,436628,567584,821800,1021481,1314406,1800000,,,0.22,5.36,7.50,7.72,12.53,15.96,22.59,27.40,34.35,45.79,,,,Palestinian Central Bureau of Statistics (PCBS).,,Palestinian Central Bureau of Statistics (PCBS).,,Palestinian Central Bureau of Statistics (PCBS).,,Palestinian Central Bureau of Statistics (PCBS).,,Palestinian Central Bureau of Statistics (PCBS).,,Palestinian Central Bureau of Statistics (PCBS).,,Palestinian Central Bureau of Statistics (PCBS).,,Palestinian Central Bureau of Statistics (PCBS).,,Palestinian Central Bureau of Statistics (PCBS).,,Palestinian Central Bureau of Statistics (PCBS).,,
Panama,410401,475141,525845,692406,1259948,1748740,2174451,3010635,3915246,6066683,6496155,,13.88,15.77,17.13,22.15,39.60,54.00,66.00,89.85,114.94,175.24,184.72,,,,,,,,,,,,,,,,,Autoridad Nacional de los Servicios Públicos.,,Autoridad Nacional de los Servicios Públicos.,,Autoridad Nacional de los Servicios Públicos (ASEP),Preliminary.,Autoridad Nacional de los Servicios Públicos (ASEP)
Papua New Guinea,8560,10700,15000,17500,48311,75000,100000,300000,874000,1417546,1909078,,0.16,0.19,0.27,0.30,0.81,1.23,1.60,4.69,13.35,21.15,27.84,,,Telikom PNG.,,Telikom PNG.,,Telikom PNG.,,Telikom PNG.,,Telikom PNG.,,Telikom PNG.,,ITU estimate.,Refers to mid-year; Pacific Economic Survey 2008.,Telikom PNG.,GSM,National Information & Communications Technology Authority,GSM,National Information & Communications Technology Authority,GSM,National Information & Communications Technology Authority
Paraguay,820810,1150000,1667018,1770345,1749048,1887000,3232842,4694361,5790759,5618639,5914711,,15.36,21.09,29.96,31.19,30.22,31.99,53.80,76.71,92.95,88.60,91.64,,,Comisión Nacional de Telecomunicaciones.,,Comisión Nacional de Telecomunicaciones.,,Comisión Nacional de Telecomunicaciones.,,Comisión Nacional de Telecomunicaciones.,,Comisión Nacional de Telecomunicaciones.,,Comisión Nacional de Telecomunicaciones.,,Comisión Nacional de Telecomunicaciones.,,BMI.,,Comisión Nacional de Telecomunicaciones CONATEL,"Decrease due to database updating, excluding inactive accounts.",Comisión Nacional de Telecomunicaciones.,,Comisión Nacional de Telecomunicaciones
Peru,1273857,1793284,2306943,2930343,4092558,5583356,9120000,15417247,20951834,24700361,29115149,,4.93,6.84,8.68,10.89,15.02,20.26,32.73,54.74,73.61,85.87,100.13,,,,,,,,,,,,,,,ITU estimate.,,Ministerio de Transportes y Comunicaciones.,,Ministerio de Transportes y Comunicaciones.,,Ministerio de Transportes y Comunicaciones.,Incl. also subscriptions providing only data services (due to difficulties to dissagregate the information at this point).,Ministerio de Transportes y Comunicaciones
Philippines,6454359,12159163,15383001,22509560,32935875,34778995,42868911,57344815,68117167,75586646,79895646,,8.35,15.40,19.08,27.35,39.24,40.66,49.21,64.68,75.54,82.43,85.67,,,National Telecommunications Commission (NTC).,,National Telecommunications Commission (NTC).,,National Telecommunications Commission (NTC).,,National Telecommunications Commission (NTC).,,National Telecommunications Commission (NTC).,,National Telecommunications Commission (NTC).,,National Telecommunications Commission (NTC).,,National Telecommunications Commission (NTC).,,National Telecommunications Commission (NTC).,,National Telecommunications Commission (NTC),,National Telecommunications Commission (NTC)
Poland,6747000,10004661,13898471,17401222,23096065,29166391,36745454,41388774,43926365,44806632,46000000,,17.62,26.14,36.35,45.56,60.50,76.42,96.27,108.38,114.93,117.14,120.18,,,Office of Electronic Communications.,,Office of Electronic Communications.,,ITU Estimate.,,ITU Estimate.,,Office of Electronic Communications.,,Office of Electronic Communications.,,Office of Electronic Communications.,,Office of Electronic Communications.,,Office of Electronic Communications.,,Office of Electronic Communications,,ITU estimate.
Portugal,6664951,7977537,8670000,10002705,10571100,11447313,12226439,13477414,14049187,14853966,15194894,,64.48,76.86,83.18,95.58,100.62,108.57,115.59,127.05,132.11,139.38,142.33,,,Instituto das Comunicações de Portugal.,,Instituto das Comunicações de Portugal.,,Autoridade Nacional de Comunicacoes (ANACOM).,,Autoridade Nacional de Comunicacoes (ANACOM).,,Autoridade Nacional de Comunicacoes (ANACOM).,,Autoridade Nacional de Comunicacoes (ANACOM).,,Autoridade Nacional de Comunicacoes (ANACOM).,,ANACOM,,Autoridade Nacional de Comunicaç?es,,Autoridade Nacional de Comunicaç?es,Subscriptions that have been active in the last month. ,Autoridade Nacional de Comunicaç?es
Puerto Rico,1318099,1628161,1646932,1709062,1847927,1993465,2198845,2431512,2543587,2712220,2933988,,34.56,42.65,43.19,44.93,48.73,52.71,58.28,64.58,67.67,72.26,78.26,,,Instituto de Estadísticas.,,Instituto de Estadísticas.,,Instituto de Estadísticas.,,Instituto de Estadísticas.,,Instituto de Estadísticas.,,Instituto de Estadísticas.,,Instituto de Estadísticas.,,Puerto Rico Telephone Company (PRTC).,,Puerto Rico Telephone Company (PRTC).,,Instituto de Estadísticas de Puerto Rico,Source: Junta Reglamentadora de Telecomunicaciones.  Wired and wireless lines.,Puerto Rico Institute of Statistics
Qatar,120856,177929,266703,376535,490333,716763,919773,1264206,1429486,1948770,2329255,,20.45,29.26,42.73,57.62,68.56,87.31,94.01,107.30,102.39,121.97,132.43,,,,,,,,,,,,,,,,,ictQATAR,Data changed. Now covers active subscribers only (active during the past 3 months).,ictQATAR,Data changed. Now covers active subscribers only (active during the past 3 months).,ictQATAR,,ictQATAR
Romania,2499000,3845116,5110591,7039898,10215388,13354138,15991000,20400000,24470000,25400000,24640000,,11.26,17.40,23.22,32.11,46.76,61.34,73.67,94.25,113.34,117.94,114.68,,,Rom-Telecom.,,Rom-Telecom.,,National Regulatory Authority for Communications.,,National Regulatory Authority for Communications.,,National Regulatory Authority for Communications.,,National Regulatory Authority for Communications.,Active (last 6 months) SIM cards.,National Regulatory Authority for Communications.,Active (last 6 months) SIM cards.,ANCOM,Active (last 6 months) SIM cards.,ANCOM,Active (last 6 months) SIM cards.,National Regulatory Authority for Communications.,Active (last 6 months) SIM cards. Provisional data,National Authority for Management and Regulation in Communications of Romania
Russia,3263200,7750499,17608756,36135135,73722222,120000000,150674000,171200000,199522340,230500000,237689224,,2.22,5.30,12.10,24.94,51.09,83.42,104.99,119.47,139.37,161.12,166.26,,,General State Supervisory Department for Communications. Ministry of Posts and Telecommunications.,,General State Supervisory Department for Communications. Ministry of Posts and Telecommunications.,,General State Supervisory Department for Communications. Ministry of Posts and Telecommunications.,,General State Supervisory Department for Communications. Ministry of Posts and Telecommunications.,,General State Supervisory Department for Communications. Ministry of Posts and Telecommunications.,,Ministry for Information Technologies and Communications.,On the basis of MTS Annual Report.,ITU estimate.,,RCC.,,RCC.,,RCC.,,Ministry of Telecom and Mass Communications of the Russian Federation
Rwanda,39000,65000,82391,130720,137271,222978,314201,635137,1322637,2429252,3548761,,0.48,0.77,0.95,1.48,1.52,2.42,3.33,6.54,13.22,23.56,33.40,,,Société Rwandaise des Télécommunications.,,Société Rwandaise des Télécommunications.,,Société Rwandaise des Télécommunications.,,Rwanda Information Technology Authority.,,Rwanda Information Technology Authority.,,Rwanda Information Technology Authority.,,Rwanda Information Technology Authority.,,Rwanda Information Technology Authority.,,Rwanda Information Technology Authority.,,Rwanda Information Technology Authority.,,Agence Rwandaise de Régulation des Services d'Utilité Publique (RURA)
S. Tomé & Principe,0,0,1980,4819,7745,11953,18424,30099,50451,64000,102497,,0.00,0.00,1.36,3.26,5.15,7.83,11.89,19.13,31.56,39.38,61.97,,,,,,,,,,,,,,,,,Companhia Santomense de Telecomuniçaôes s.a.r.l. (CST).,,Autoridade Geral de Regulação,,ITU estimate.,,Autoridade Geral de Regulação
Samoa,2500,2500,2700,10500,16000,24000,45500,86000,124000,151000,167400,,1.42,1.41,1.51,5.86,8.90,13.32,25.17,47.44,68.20,82.78,91.43,,,Samoa Communications Ltd.,,Samoa Communications Ltd.,,Samoa Communications Ltd.,,Samoa Communications Ltd.,,Samoa Communications Ltd.,,Samoa Communications Ltd.,,Samoa Communications Ltd.,Refers to mid-year.,Pacific Economic Survey 2008.,,ITU estimate.,,ITU estimate.,,ITU estimate.
San Marino,14503,15854,16759,16900,17085,17150,17390,17500,24000,24000,24000,,53.78,57.56,59.32,58.25,57.48,56.60,56.61,56.44,76.93,76.53,76.11,,,,,,,,,,,,,,,,,Direzione Generale Poste e Telecomunicazioni.,,Direzione Generale Poste e Telecomunicazioni.,,,,ITU estimate.
Saudi Arabia,1375881,2528640,5007965,7238224,9175764,14164184,19700000,28400000,36000000,44864355,51564375,,6.86,12.23,23.33,32.41,39.53,58.92,79.44,111.35,137.58,167.35,187.86,,,,,,,ITU estimate. ,,,,,,,,,,CITC Market Studies Department. ,,CITC Market Studies Department. ,,CITC Market Studies Department. ,,Communication and Information Technology Commission
Senegal,250251,301811,553449,782423,1121314,1730106,2982623,3630804,5389133,6901492,8343717,,2.63,3.09,5.52,7.60,10.60,15.91,26.70,31.64,45.72,57.00,67.11,,,,,,,,,,,,,,,,,Agence de Régulation des Télécommunications.,,Agence de Régulation des Télécommunications.,,Agence de Régulation des Télécommunications.,,Agence de Régulation des Télécommunications et des Postes (ARTP)
Serbia,,,,,4729629,5510690,6643722,8452642,9618767,9912339,9915348,,,,,,47.80,71.80,86.80,110.48,125.59,129.25,129.19,,,,,,,,,,,"Ratel, Republic Telecommunication Agency.",,"Ratel, Republic Telecommunication Agency.",,"Ratel, Republic Telecommunication Agency.",,Republic Telecommunication Agency RATEL.,,Republic Telecommunication Agency RATEL.,,Republic Telecommunication Agency RATEL.,,Republic Agency for Electronic Communications (RATEL)
Seychelles,25961,36683,44731,49229,54369,58806,70340,77278,93476,110668,117587,,32.99,46.06,55.47,60.29,65.80,70.42,83.45,90.94,109.24,128.57,135.91,,,Ministry of Information Technology and Communication.,,Ministry of Information Technology and Communication.,,Ministry of Information Technology and Communication.,,Ministry of Information Technology and Communication.,,Ministry of Information Technology and Communication.,,Ministry of Information Technology and Communication.,,Ministry of Information Technology and Communication.,Sept 2007,Ministry of Information Technology and Communication., Refers to data collected at the end of Jan 2009,Ministry of National Development.,Refers to data collected at the end of Jan 2010,MInistry of National Development,Refers to data collected at the end of Jan 2011,Vice President's Office Department of Information Communication Technology
Sierra Leone,11940,26895,67000,113214,,,,776000,1008800,1160000,2000000,,0.29,0.62,1.49,2.39,,,,14.17,17.98,20.21,34.09,,,Sierra Leone Telecommunications Company (SIERRATEL).,,Sierra Leone Telecommunications Company (SIERRATEL).,,Sierra Leone Telecommunications Company (SIERRATEL).,,ITU estimate.,,,,,,,,ITU estimate.,,Sierra Leone Telecommunications Company (SIERRATEL).,,ITU estimate.,Data as at February 2011. This includes multiple subscriptions by single individuals ,National Telecommunications Commission 
Singapore,2747400,2991600,3313000,3577000,3990700,4384600,4788600,5924100,6414800,6879800,7307300,,70.10,75.15,82.16,87.54,95.93,102.78,108.59,129.21,134.42,139.11,143.66,,,Infocomm Development Authority of Singapore (IDA).,,Infocomm Development Authority of Singapore (IDA).,,Infocomm Development Authority of Singapore (IDA).,,Infocomm Development Authority of Singapore (IDA).,Dec.,Infocomm Development Authority of Singapore (IDA).,,Infocomm Development Authority of Singapore (IDA).,,Infocomm Development Authority of Singapore (IDA).,,Infocomm Development Authority of Singapore (IDA).,,Infocomm Development Authority of Singapore (IDA).,,Infocomm Development Authority of Singapore (IDA).,As at Jan 2011; data as at end Mar is not available yet.,Infocomm Development Authority of Singapore
Slovak Republic,1243736,2147331,2923383,3678774,4275164,4540374,4893232,6068063,5520043,5497719,5925012,,23.01,39.71,54.06,68.01,79.00,83.84,90.25,111.73,101.45,100.84,108.47,,No distinction made between active or non-active subscribers.,"Ministry of Transport, Posts and Telecommunications.",No distinction made between active or non-active subscribers.,"Ministry of Transport, Posts and Telecommunications.",No distinction made between active or non-active subscribers.,"Ministry of Transport, Posts and Telecommunications.",No distinction made between active or non-active subscribers.,"Ministry of Transport, Posts and Telecommunications.",No distinction made between active or non-active subscribers.,"Ministry of Transport, Posts and Telecommunications.",No distinction made between active or non-active subscribers.,"Ministry of Transport, Posts and Telecommunications.",No distinction made between active or non-active subscribers.,"Ministry of Transport, Posts and Telecommunications.",No distinction made between active or non-active subscribers.,"Ministry of Transport, Posts and Telecommunications.","Break in comparability from 01.01.2008, only active mobile subscribers are counted. Active subscribers are those that have used at least one payable service in the last 90 days.","Ministry of Transport, Posts and Telecommunications.",,"Ministry of Transport, Posts and Telecommunications.",,"Ministry of Transport, Construction and Regional Development of the Slovak Republic  "
Slovenia,1215601,1470085,1667234,1739146,1848637,1759232,1819572,1928412,2054899,2100435,2121950,,61.23,73.93,83.73,87.20,92.53,87.87,90.67,95.83,101.82,103.77,104.55,,,Ministry of Transport and Communications.,,"Telecommunications, Broadcasting and Post Agency.",,"Telecommunications, Broadcasting and Post Agency.",,"Telecommunications, Broadcasting and Post Agency.",,Post and Electronic Communications Agency.,New methodology of active subscribers.,Post and Electronic Communications Agency.,,Post and Electronic Communications Agency.,,Post and Electronic Communications Agency.,,Post and Electronic Communications Agency.,,Post and Electronic Communications Agency.,,Post and Electronic Communications Agency of the Republic of Slovenia
Solomon Islands,1151,967,999,1060,3000,6000,7000,10900,30000,30000,30000,,0.28,0.23,0.23,0.24,0.66,1.28,1.45,2.20,5.88,5.72,5.57,,,Solomon Telekom Company Ltd.,,Solomon Telekom Company Ltd.,,Solomon Telekom Company Ltd.,,Solomon Telekom Company Ltd.,,Solomon Telekom Company Ltd.,,Solomon Telekom Company Ltd.,,ITU estimate.,Estimate based on Pacific Economic Survey 2008.,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.
Somalia,80000,85000,100000,200000,500000,500000,550000,600000,627000,641000,648200,,1.08,1.12,1.28,2.51,6.12,5.98,6.43,6.87,7.03,7.03,6.95,,,Ministry of Posts and Telecommunications.,,Ministry of Posts and Telecommunications.,,Ministry of Posts and Telecommunications.,,ITU estimate.,,Ministry of Posts and Telecommunications.,,Ministry of Posts and Telecommunications.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.
South Africa,8339000,10787000,13702000,16860000,20839000,33959958,39662000,42300000,45000000,46436000,50372000,,18.63,23.77,29.78,36.16,44.13,71.06,82.06,86.60,91.24,93.34,100.48,,,Telkom SA Limited (Telkom).,,Independent Communications Authority of South Africa (ICASA).,,Independent Communications Authority of South Africa (ICASA).,,Independent Communications Authority of South Africa (ICASA).,,Independent Communications Authority of South Africa (ICASA).,,Independent Communications Authority of South Africa (ICASA).,,Independent Communications Authority of South Africa (ICASA).,"Estimation based on Annual Reports of Vodacom,  MTN and Cell C.",Independent Communications Authority of South Africa (ICASA).,,Independent Communications Authority of South Africa (ICASA).,,ITU estimate.,,ICASA based on Business Monitor International.
Spain,24265059,29655729,33530997,37219839,38622582,42694115,45695061,48422470,49623339,51083880,51492662,,60.23,72.74,81.06,88.53,90.38,98.38,103.81,108.56,109.92,111.93,111.75,,,"Telefónica de España, S.A. Ministerio de Ciencia y Technología.",,"Telefónica de España, S.A. Ministerio de Ciencia y Technología.",,Comisión del Mercado de las Telecomunicaciones (CMT).,,Comisión del Mercado de las Telecomunicaciones (CMT).,,Comisión del Mercado de las Telecomunicaciones (CMT).,,Comisión del Mercado de las Telecomunicaciones (CMT).,,Comisión del Mercado de las Telecomunicaciones (CMT).,,Comisión del Mercado de las Telecomunicaciones (CMT).,,Comisión del Mercado de las Telecomunicaciones,,Comisión del Mercado de las Telecomunicaciones,,Comisión del Mercado de las Telecomunicaciones
Sri Lanka,430202,667662,931403,1393403,2211158,3361775,5412496,7983489,11082454,16305417,17359312,,2.30,3.53,4.87,7.19,11.28,16.94,26.98,39.38,54.13,78.89,83.22,,,,,,,,,,,,,,,,,Telecommunications Regulatory Commission of Sri Lanka.,,Telecommunications Regulatory Commission of Sri Lanka.,,Telecommunications Regulatory Commission of Sri Lanka,,Telecommunications Regulatory Commission of Sri Lanka
St. Helena,0,0,0,0,0,0,0,0,0,0,0,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,Cable & Wireless South Atlantic Ltd,,Cable & Wireless South Atlantic Ltd,,Cable & Wireless South Atlantic Ltd,,Cable & Wireless South Atlantic Ltd
St. Kitts and Nevis,1200,2100,5000,22000,29000,51000,64000,74000,80000,83000,84600,,2.60,4.50,10.57,45.91,59.74,103.72,128.49,146.67,156.55,160.38,161.44,,,Cable & Wireless St. Kitts & Nevis.,,Cable & Wireless St. Kitts & Nevis. Estimate.,,Cable & Wireless St. Kitts & Nevis.,,Cable & Wireless St. Kitts & Nevis.,,Cable & Wireless St. Kitts & Nevis.,December.,Cable & Wireless St. Kitts & Nevis.,,"Ministry of Communications, Works, Utilities, Posts and Telegraph.",,"Ministry of Communications, Works, Utilities, Posts and Telegraph.",,ITU estimate.,,ITU estimate.,,ITU estimate.
St. Lucia,2500,2700,14313,99000,101000,105656,145000,155000,169600,176000,179300,,1.59,1.70,8.92,61.09,61.72,63.93,86.83,91.83,99.40,102.05,102.89,,,C&W estimate.,,C&W estimate.,,C&W estimate.,,C&W estimate.,,C&W estimate.,,C&W estimate.,,C&W estimate.,,ITU estimate.,,C&W estimate.,,ITU estimate.,,ITU estimate.
St. Vincent and the G.,2361,7492,9982,62911,72000,70620,87634,110491,130098,121114,131791,,2.19,6.94,9.23,58.06,66.32,64.93,80.46,101.31,119.16,110.84,120.54,,,Cable and Wireless (W.I.) Ltd.  (C&W).,,Cable and Wireless (W.I.) Ltd.  (C&W).,,National Telecommunications Regulatory Commission.,,National Telecommunications Regulatory Commission.,,National Telecommunications Regulatory Commission.,,National Telecommunications Regulatory Commission.,,National Telecommunications Regulatory Commission.,,National Telecommunications Regulatory Commission.,,National Telecommunications Regulatory Commission.,Decrease due to a change in policy. Inactive accounts for 3 months are being deactivated.,National Telecommunications Regulatory Commission.,,National Telecommunications Regulatory Comission
Sudan,23000,103846,190778,527233,1048558,1827940,4683127,8218092,11991469,15339895,17654230,,0.07,0.30,0.53,1.44,2.80,4.76,11.90,20.36,28.95,36.11,40.54,,Canar counted as fixed line.,ITU estimate: Without Canar.,Canar counted as fixed line.,ITU estimate: Without Canar.,Canar counted as fixed line.,ITU estimate: Without Canar.,Canar counted as fixed line.,,Canar counted as fixed line.,,Canar counted as fixed line.,ITU estimate: Without Canar.,Canar counted as fixed line.,NTC.,Canar counted as fixed line.,National Telecommunication Corporation (NTC).,Canar counted as fixed line.,National Telecommunication Corporation (NTC).,,National Telecommunication Corporation (NTC).,,ITU estimate.
Suriname,41048,87000,108363,168522,212819,232785,320000,380000,657106,763912,890000,,8.79,18.38,22.57,34.62,43.15,46.62,63.38,74.49,127.58,146.95,169.64,,,,,,,,,,,,,,,,,ITU estimate.,,ITU estimate.,,Telecommunications Authority Suriname.,,ITU estimate.
Swaziland,33000,55000,68000,85000,145000,200000,250000,380000,531643,656000,732700,,3.10,5.12,6.28,7.81,13.24,18.10,22.37,33.54,46.22,56.15,61.78,,,Swaziland Posts and Telecommunications Corporation (STPC).,,Swaziland Posts and Telecommunications Corporation (STPC).,,Swaziland Posts and Telecommunications Corporation (STPC).,,ITU estimate.,,Swaziland Posts and Telecommunications Corporation (STPC).,,Swaziland Posts and Telecommunications Corporation (STPC).,,Swaziland Posts and Telecommunications Corporation (STPC).,,ITU estimate.,,Swaziland Posts and Telecommunications Corporation (STPC).,,Swaziland Posts and Telecommunications Corporation (STPC).,,ITU estimate.
Sweden,6372300,7178000,7949000,8801000,8785000,9104000,9607000,10116852,10014000,10440000,10650000,,71.92,80.86,89.30,98.50,97.85,100.83,105.68,110.43,108.41,112.12,113.54,,,Swedish Institute for Transport and Communications Analysis.,,Swedish Institute for Transport and Communications Analysis.,,Swedish Institute for Transport and Communications Analysis.,,Swedish Institute for Transport and Communications Analysis.,June.,Swedish Institute for Transport and Communications Analysis.,,Swedish Institute for Transport and Communications Analysis.,,Swedish Institute for Transport and Communications Analysis.,,Swedish Institute for Transport and Communications Analysis.,,Swedish Post and Telecom Agency (PTS).,,Swedish Post and Telecom Agency (PTS).,,
Switzerland,4638519,5275791,5736303,6189000,6274763,6834233,7436157,8208884,8896706,9322580,9475000,,64.71,73.19,79.07,84.70,85.24,92.17,99.57,109.14,117.48,122.32,123.62,,,OFCOM.,,OFCOM.,,OFCOM.,,OFCOM.,,OFCOM.,,OFCOM.,,OFCOM.,,OFCOM.,,Estimate from OFCOM.,,Office Fédéral de la Communication,Estimates.,Office Fédéral de la Communication
Syria,30000,200000,400000,1185000,2346000,2950000,4675000,6234682,7056158,9981861,11696212,,0.19,1.22,2.36,6.78,13.03,15.96,24.71,32.27,35.83,49.78,57.30,,,STE estimate.,,Syrian Telecommunications Establishment (STE).,,Syrian Telecommunications Establishment (STE).,,Syrian Telecommunications Establishment (STE).,,Syrian Telecommunications Establishment (STE).,,Syrian Telecommunications Establishment (STE).,,Syrian Telecommunications Establishment (STE).,,Syrian Telecommunications Establishment (STE).,,Syrian Telecommunications Establishment (STE).,Incl. 3G,Syrian telecom,Incl. 3G,Syrian Telecommunication Establishment
"Taiwan, Province of China",17873829,21786384,24390520,25799839,22760144,22170702,23249262,24286961,25412514,26958772,27839527,,81.48,98.59,109.55,115.03,100.77,97.55,101.72,105.73,110.16,116.44,119.91,,,Directorate General of Telecommunications (DGT).,Including PHS subscriptions.,Directorate General of Telecommunications (DGT).,Including PHS subscriptions.,Directorate General of Telecommunications (DGT).,Including PHS subscribers.,Directorate General of Telecommunications (DGT).,Including PHS subscriptions.. Decline due to inactive prepaid accounts.,Directorate General of Telecommunications (DGT).,Including PHS subscriptions.,National Communications Commission (NCC).,Including PHS subscriptions.,National Communications Commission (NCC).,Including PHS subscriptions.,National Communications Commission (NCC).,,National Communications Commission (NCC).,,National Communications Commission (NCC).,,National Communications Commission
Tajikistan,1160,1630,13200,47617,135000,265000,2150000,2132770,3673520,4900000,5940842,,0.02,0.03,0.21,0.75,2.11,4.11,32.95,32.29,54.90,72.24,86.37,,,,,,,,,,,,,,,,,Tajiktelecom.,,RCC.,,ITU estimate.,,"5'940'842

Communication Service under the Government of the Republic of Tajikistan"
Tanzania,110518,275560,606859,1298000,1942000,2964000,5609000,8252000,13006793,17469486,20983853,,0.32,0.79,1.69,3.53,5.14,7.63,14.05,20.09,30.77,40.14,46.80,,,Tanzania Telecommunications Company Ltd (TTCL).,,Tanzania Telecommunications Company Ltd (TTCL).,,Tanzania Telecommunications Company Ltd (TTCL).,,Tanzania Communications Regulatory Authority.,,Tanzania Communications Regulatory Authority.,,Tanzania Communications Regulatory Authority.,,Tanzania Communications Regulatory Authority.,,Tanzania Communications Regulatory Authority.,June.,Tanzania Communications Regulatory Authority.,,Tanzania Communications Regulatory Authority.,,Tanzania Communications Regulatory Authority (TCRA)
TFYR Macedonia,115748,223275,365346,776000,985600,1131006,1263841,1794433,1967531,1943216,2153425,,5.76,11.07,18.07,38.27,48.48,55.49,61.86,87.62,95.86,94.48,104.51,,,Makedonski Telekomunikacii A.D.,,Makedonski Telekomunikacii A.D.,,Makedonski Telekomunikacii A.D.,,Makedonski Telekomunikacii A.D.,,Makedonski Telekomunikacii A.D.,,Agency for Electronic Communications (Agencija za elektronski komunikacii).,Data refer to active subscriptions that have been active in a period of 3 months. ,Agency for Electronic Communications (Agencija za elektronski komunikacii).,Data refer to active subscriptions that have been active in a period of 3 months. ,Agency for Electronic Communications (Agencija za elektronski komunikacii).,Data refer to active subscriptions that have been active in a period of 3 months. ,Agency for Electronic Communications (Agencija za elektronski komunikacii).,Data refer to active subscriptions that have been active in a period of 3 months. ,Agency for Electronic Communications (Agencija za elektronski komunikacii).,Data refer to active subscriptions that have been active in a period of 3 months. ,Agency for Electronic Communications
Thailand,3056000,7550000,10171550,21828181,27378659,31136541,40723181,52973994,61837164,65952313,69683069,,4.84,11.82,15.73,33.39,41.44,46.68,60.53,78.14,90.58,95.99,100.81,,,,,,,,,,,,,,,,,Ministry of Information and Communication Technology,,Ministry of Information and Communication Technology,,Ministry of Information and Communication Technology,,Ministry of Information and Communication Technology
Timor-Leste,,,,20058,25722,33072,49100,78215,125000,330000,600600,,,,,2.15,2.64,3.27,4.73,7.37,11.58,30.00,53.42,,,,,,,,,Communication Regulatory Authority.,,Communication Regulatory Authority.,,Communication Regulatory Authority.,,ITU estimate.,Refers to mid-year.,Communication Regulatory Authority.,,Timor Telecom website.,,Timor Telecom website.,,ITU estimate.
Togo,50000,95000,165138,243613,332565,433635,708000,1190319,1549542,2187334,2452433,,1.04,1.93,3.27,4.71,6.29,8.02,12.80,21.06,26.82,37.06,40.69,,,Société des Télécommunications du Togo (Togo Telecom).,,Société des Télécommunications du Togo (Togo Telecom).,,ART&P.,,ART&P.,,ART&P.,,ART&P.,,ART&P.,,ART&P.,,ART&P.,,ART&P.,,Autorité de Règlementation des secteurs de postes et télécommunications
Tokelau,0,0,,0,0,0,,,,,,,0.00,0.00,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tonga,180,236,3354,11200,16400,29872,30051,46525,50472,53000,54300,,0.18,0.24,3.39,11.24,16.35,29.60,29.58,45.50,49.04,51.20,52.18,,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,Prime Ministers Office,,Prime Ministers Office,,ITU estimate.,,ITU estimate.
Trinidad & Tobago,161860,256106,262772,336352,651189,924100,1518800,1509800,1806120,1846345,1894240,,12.53,19.75,20.19,25.75,49.69,70.25,115.02,113.89,135.69,138.16,141.21,,,Telecommunications Services of Trinidad and Tobago (TSTT).,,Telecommunications Services of Trinidad and Tobago (TSTT).,,Telecommunications Services of Trinidad and Tobago (TSTT).,,Telecommunications Services of Trinidad and Tobago (TSTT).,,Ministry of Public Administration and Information.,,Ministry of Public Administration and Information.,,Ministry of Public Administration and Information.,Only one telecom provider.,Ministry of Public Administration and Information.,,Telecommunications Authority of Trinidad and Tobago,,Telecommunications Authority of Trinidad and Tobago,,Telecommunications Authority of Trinidad and Tobago (TATT)
Tunisia,119165,389208,574334,1917530,3735695,5680726,7339047,7842619,8602164,9797026,11114206,,1.26,4.08,5.96,19.72,38.06,57.31,73.26,77.42,83.95,94.52,106.04,,,,,,,,,,,,,,,,,Ministère des Technologies de la Communication.,,Ministère des Technologies de la Communication.,,Ministère des Technologies de la Communication,,Secrétariat d'Etat des Technologies de la Communication
