,Mobile cellular subscriptions,,,,,,,,,,,,Mobile cellular subscriptions per 100 inhabitants,,,,,,,,,,,,Metadata for mobile cellular subscriptions,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,95000,143004,153647,177365,202454,232900,301400,366138,398857,412882,435104,,29.05,42.77,44.98,50.85,56.88,64.14,81.39,96.99,103.68,105.37,109.07,,,Jabatan Telekom Brunei (JTB). Ministry of Communications.,,Jabatan Telekom Brunei (JTB). Ministry of Communications.,,AiTi.,,AiTi.,,AiTi.,,AiTi.,,AiTi.,,AiTi.,,AiTi.,,AITI estimate,,Authority for Info-communications Technology Industry of Brunei Darussalam
Bulgaria,738000,1550000,2597548,3500869,4729731,6244922,8253416,9897477,10500186,10575700,10584515,,9.22,19.50,32.91,44.65,60.72,80.69,107.33,129.54,138.32,140.21,141.23,,,Bulgarian Telecommunications Company Ltd.,,Bulgarian Telecommunications Company Ltd.,,Communications Regulation Commission.,,Communications Regulation Commission.,,Communications Regulation Commission.,,Communications Regulation Commission.,,Communications Regulation Commission.,,Communications Regulation Commission.,,Communications Regulation Commission.,,Communications Regulation Commission,,Communications Regulation Commission
Burkina Faso,25245,76186,111013,238094,395939,633554,1016605,1858038,3024150,3823625,5707850,,0.21,0.60,0.85,1.78,2.87,4.46,6.95,12.34,19.49,23.92,34.66,,,Office National des Télécommunications (ONATEL).,Including Celtel subscribers. ,Office National des Télécommunications (ONATEL).,Including Celtel subscribers. ,Office National des Télécommunications (ONATEL).,Including Celtel subscribers. ,Office National des Télécommunications (ONATEL).,Including Celtel subscribers. ,Office National des Télécommunications (ONATEL).,Including Celtel subscribers. ,Office National des Télécommunications (ONATEL).,Including Celtel subscribers. ,Office National des Télécommunications (ONATEL).,,Autorité de Régulation des Télécommunications Électroniques (ARCE),,Autorité de Régulation des Télécommunications Électroniques (ARCE),,Autorité de Régulation des Télécommunications Électroniques (ARCE),,Autorité de Régulation des Communications Électroniques (ARCE)
Burundi,16320,33416,52000,64000,100560,153000,200000,270000,480584,838414,1150500,,0.26,0.51,0.78,0.94,1.43,2.11,2.68,3.50,6.05,10.26,13.72,,,Office National des Télécommunications (ONATEL).,,ITU estimate.,,Agence de Régulation et de Contrôle des Télécommunications.,,Agence de Régulation et de Contrôle des Télécommunications.,,Agence de Régulation et de Contrôle des Télécommunications.,,Agence de Régulation et de Contrôle des Télécommunications.,,ITU estimate.,,Telegeography.,,Agence de Régulation et de Contrôle des Télécommunications.,,Agence de Régulation et de Contrôle des Télécommunications.,,ITU estimate.
Cambodia,130547,223458,380000,498388,861500,1062000,1721650,2583318,4237000,6268000,8150764,,1.05,1.77,2.96,3.83,6.53,7.95,12.74,18.90,30.65,44.84,57.65,,,,,,,,,,,,,,,,,Ministry of Post and Telecommunications (MPTC).,,Ministry of Post and Telecommunications (MPTC).,,MINISTRY OF POSTS & TELECOMMUNICATIONS OF CAMBODIA (MPTC),,Ministry of Posts and Telecommunications
Cameroon,103279,417295,701507,1077000,1530868,2252508,3135946,4536000,6160893,8004120,8155652,,0.66,2.60,4.28,6.42,8.92,12.83,17.47,24.72,32.84,41.74,41.61,,,Ministère des Postes et Télécommunications. Agence de Régulation des Télécommunications.,,Ministère des Postes et Télécommunications. Agence de Régulation des Télécommunications.,,Ministère des Postes et Télécommunications. Agence de Régulation des Télécommunications.,,Ministère des Postes et Télécommunications. Agence de Régulation des Télécommunications.,,Ministère des Postes et Télécommunications. Agence de Régulation des Télécommunications.,,Ministère des Postes et Télécommunications. Agence de Régulation des Télécommunications.,,Ministère des Postes et Télécommunications. Agence de Régulation des Télécommunications.,,ITU estimate.,,Ministère des Postes et Télécommunications. Agence de Régulation des Télécommunications.,,Agence de Régulation des Statistiques,,Agence de Régulation des Télécommunications
Canada,8727000,10649000,11872000,13291000,15020000,17016600,18749100,20277400,22092500,23811900,24037372,,28.46,34.39,37.95,42.05,47.02,52.71,57.46,61.49,66.29,70.71,70.66,,,Statistics Canada.,,Statistics Canada.,,Statistics Canada.,,Statistics Canada.,,CWTA.,,CWTA.,,Statistics Canada.,,Statistics Canada.,,Statistics Canada.,,Canadian Radio-television Telecommunications Commission,3Q.,CWTA.
Cape Verde,19729,31507,42949,53342,65780,81721,108858,152212,277670,290621,371871,,4.51,7.08,9.49,11.60,14.09,17.28,22.76,31.51,56.97,59.11,74.97,,,Cabo Verde Telecom.,,Cabo Verde Telecom.,,Cabo Verde Telecom.,,Cabo Verde Telecom.,,Instituto das Comunicações e das Tecnologias de Informação.,,Instituto das Comunicações e das Tecnologias de Informação.,,Instituto das Comunicações e das Tecnologias de Informação.,,ITU estimate.,,Agencia Nacional das Comunicaçoes.,,ANAC - Agência Nacional das Comunicações,,Agencia Nacional das Comunicaçoes
Cayman Islands,10700,17000,19000,21040,33800,80945,92559,101497,98313,108699,99891,,26.62,40.00,42.11,44.00,67.23,154.87,172.32,185.62,177.80,194.93,177.65,,,,,,,,,,,,Year-end mobile handsets in operation.,Information and Communications Technology Authority,Year-end mobile handsets in operation.,Information and Communications Technology Authority,Year-end mobile handsets in operation.,Information and Communications Technology Authority,Year-end mobile handsets in operation. Reduction explained by high fluctuation of temporary residents.,Information and Communications Technology Authority,Year-end mobile handsets in operation.,Information and Communications Technology Authority,Year-end mobile handsets in operation.,Information and Communications Technology Authority
Central African Rep.,4967,11000,12600,40000,60000,100000,110000,200000,250000,600000,1020000,,0.13,0.29,0.33,1.03,1.52,2.49,2.69,4.81,5.90,13.89,23.18,,,Société Centrafricaine de Télécommunications (SOCATEL).,,Société Centrafricaine de Télécommunications (SOCATEL).,,Société Centrafricaine de Télécommunications (SOCATEL).,,Société Centrafricaine de Télécommunications (SOCATEL).,,Société Centrafricaine de Télécommunications (SOCATEL).,,Société Centrafricaine de Télécommunications (SOCATEL).,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.
Chad,5500,22000,34200,65000,123000,210000,466088,918356,1809000,2281320,2614330,,0.07,0.26,0.39,0.71,1.30,2.15,4.62,8.85,16.98,20.86,23.29,,,SOTEL.,,ITU estimate.,,SOTEL.,,SOTEL.,,Office Tchadien de Régulation des Télécommunications.,,Office Tchadien de Régulation des Télécommunications.,,Office Tchadien de Régulation des Télécommunications.,,ITU estimate.,,ITU estimate.,,Office Tchadien de Régulation des Télécommunications.,,Office Tchadien de Régulation des Télécommunications.
Chile,3401525,5100783,6244310,7268281,9261385,10569572,12450801,13955202,14796593,16450223,19852242,,22.06,32.69,39.56,45.54,57.41,64.84,75.60,83.90,88.10,97.02,116.00,,,Subsecretaría de Telecomunicaciones (Subtel).,,Subsecretaría de Telecomunicaciones (Subtel).,,ITU estimate.,,Subsecretaría de Telecomunicaciones (Subtel).,,Subsecretaría de Telecomunicaciones (Subtel).,,Subsecretaría de Telecomunicaciones (Subtel).,,Subsecretaría de Telecomunicaciones (Subtel).,,Subsecretaría de Telecomunicaciones (Subtel).,,Subsecretaría de Telecomunicaciones (Subtel).,,Subsecretaría de Telecomunicaciones (Subtel).,,Subsecretaría de Telecomunicaciones
China,85260000,144820000,206005000,269953000,334824000,393406000,461058000,547306000,641245000,747214000,859003000,,6.72,11.33,16.02,20.87,25.74,30.09,35.07,41.42,48.28,55.97,64.04,,,Ministry of Information Industry (MII).,,Ministry of Information Industry (MII).,,Ministry of Information Industry (MII).,,Ministry of Information Industry (MII).,,Ministry of Information Industry (MII).,,Ministry of Information Industry (MII).,,Ministry of Information Industry (MII).,,Ministry of Information Industry (MII).,,Ministry of Industry and Information Technology,,Ministry of Industry and Information Technology,,Ministry of Industry and Information Technology
Colombia,2256801,3265261,4596594,6186206,10400578,21849993,29762715,33941118,41364753,42159613,43405330,,5.68,8.08,11.19,14.82,24.54,50.77,68.11,76.53,91.91,92.35,93.76,,,,,,,,,,,,,,,,,Ministerio de Tecnologías de la Información y las Comunicaciones,,Ministerio de Tecnologías de Información y las Comunicaciones,,Ministerio de Tecnologías de la Información y las Comunicaciones,,Ministerio de Tecnologías de la Información y las Comunicaciones
Comoros,0,0,0,2000,8378,15523,36877,62104,91741,122596,165278,,0.00,0.00,0.00,0.33,1.34,2.41,5.58,9.15,13.16,17.13,22.49,,,Société Nationale des Postes et Telecommunications (SNPT).,,Société Nationale des Postes et Telecommunications (SNPT).,,Société Nationale des Postes et Telecommunications (SNPT).,,Société Nationale des Postes et Telecommunications (SNPT).,,Société Nationale des Postes et Telecommunications (SNPT).,,Comores Télécom.,,Comores Télécom.,,Comores Télécom.,,Comores Télécom.,,Comores Télécom.,,Comores Télécom.
Congo,70000,150000,221800,330000,383653,558192,917499,1287631,1807000,2171000,3798619,,2.23,4.67,6.74,9.81,11.13,15.80,25.29,34.52,47.10,55.08,93.96,,,Direction Générale de l'Administration Centrale des Postes et Télécommunications.,,Direction Générale de l'Administration Centrale des Postes et Télécommunications.,,Direction Générale de l'Administration Centrale des Postes et Télécommunications.,,Direction Générale de l'Administration Centrale des Postes et Télécommunications.,,Direction Générale de l'Administration Centrale des Postes et Télécommunications.,,Direction Générale de l'Administration Centrale des Postes et Télécommunications.,,Direction Générale de l'Administration Centrale des Postes et Télécommunications.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,Agence de Régulation des Postes et des Communications Electroniques
